id,timestamp,serial_number,latitude,longitude,car_count,traffic_speed,traffic_density,pedestrian_count,pedestrian_density,ambient_light,lighting_class,lamp_power,weather,dimming_level
1,2025-03-02T00:00:00,1,47.22486,39.702285,9,24.38,0.11,0,0.0,151.0,B1,75.0,rain,75.0
2,2025-03-02T01:00:00,1,47.22486,39.702285,7,30.23,0.09,2,0.05,98.0,B1,52.5,rain,80.0
3,2025-03-02T02:00:00,1,47.22486,39.702285,5,21.39,0.06,0,0.0,79.0,B1,52.5,rain,75.0
4,2025-03-02T03:00:00,1,47.22486,39.702285,4,23.99,0.05,0,0.0,20.0,B1,52.5,rain,75.0
5,2025-03-02T04:00:00,1,47.22486,39.702285,1,11.5,0.01,2,0.05,7.0,B1,52.5,rain,70.0
6,2025-03-02T05:00:00,1,47.22486,39.702285,3,20.3,0.04,0,0.0,67.0,B1,52.5,rain,75.0
7,2025-03-02T06:00:00,1,47.22486,39.702285,19,33.27,0.24,9,0.23,7194.0,B1,52.5,rain,40.0
8,2025-03-02T07:00:00,1,47.22486,39.702285,50,25.51,0.62,14,0.35,5627.0,B1,52.5,rain,50.0
9,2025-03-02T08:00:00,1,47.22486,39.702285,66,33.21,0.82,18,0.45,5940.0,B1,75.0,rain,55.0
10,2025-03-02T09:00:00,1,47.22486,39.702285,69,21.31,0.86,6,0.15,15601.0,B1,105.0,rain,25.0
11,2025-03-02T10:00:00,1,47.22486,39.702285,16,41.6,0.2,7,0.17,30106.0,B1,0.0,rain,0.0
12,2025-03-02T11:00:00,1,47.22486,39.702285,22,38.7,0.28,6,0.15,36151.0,B1,0.0,rain,0.0
13,2025-03-02T12:00:00,1,47.22486,39.702285,30,34.61,0.38,9,0.23,42252.0,B1,0.0,rain,0.0
14,2025-03-02T13:00:00,1,47.22486,39.702285,20,14.01,0.25,6,0.15,65154.0,B1,0.0,rain,0.0
15,2025-03-02T14:00:00,1,47.22486,39.702285,32,11.33,0.4,2,0.05,72459.0,B1,0.0,rain,0.0
16,2025-03-02T15:00:00,1,47.22486,39.702285,27,25.23,0.34,6,0.15,36272.0,B1,0.0,rain,0.0
17,2025-03-02T16:00:00,1,47.22486,39.702285,9,35.18,0.11,4,0.1,11302.0,B1,0.0,rain,25.0
18,2025-03-02T17:00:00,1,47.22486,39.702285,68,26.45,0.85,7,0.17,6063.0,B1,0.0,rain,100.0
19,2025-03-02T18:00:00,1,47.22486,39.702285,51,33.03,0.64,12,0.3,1707.0,B1,105.0,rain,90.0
20,2025-03-02T19:00:00,1,47.22486,39.702285,64,20.38,0.8,18,0.45,123.0,B1,75.0,rain,100.0
21,2025-03-02T20:00:00,1,47.22486,39.702285,27,28.17,0.34,8,0.2,42.0,B1,105.0,rain,85.0
22,2025-03-02T21:00:00,1,47.22486,39.702285,15,40.27,0.19,10,0.25,122.0,B1,52.5,rain,85.0
23,2025-03-02T22:00:00,1,47.22486,39.702285,9,40.28,0.11,8,0.2,62.0,B1,52.5,rain,80.0
24,2025-03-02T23:00:00,1,47.22486,39.702285,23,13.55,0.29,8,0.2,103.0,B1,52.5,rain,85.0
25,2025-03-03T00:00:00,1,47.22486,39.702285,3,10.95,0.04,2,0.05,51.0,B1,52.5,rain,55.0
26,2025-03-03T01:00:00,1,47.22486,39.702285,6,26.8,0.07,0,0.0,151.0,B1,52.5,rain,60.0
27,2025-03-03T02:00:00,1,47.22486,39.702285,4,38.25,0.05,2,0.05,87.0,B1,52.5,rain,55.0
28,2025-03-03T03:00:00,1,47.22486,39.702285,8,24.92,0.1,2,0.05,113.0,B1,52.5,rain,50.0
29,2025-03-03T04:00:00,1,47.22486,39.702285,2,14.39,0.03,2,0.05,138.0,B1,52.5,rain,50.0
30,2025-03-03T05:00:00,1,47.22486,39.702285,9,9.31,0.11,2,0.05,85.0,B1,52.5,rain,50.0
31,2025-03-03T06:00:00,1,47.22486,39.702285,27,56.48,0.34,12,0.3,9745.0,B1,52.5,clear,45.0
32,2025-03-03T07:00:00,1,47.22486,39.702285,52,37.2,0.65,10,0.25,7306.0,B1,52.5,clear,55.0
